mabs, vmaxs, vmaxg, t
-19.095,120,64.23,5.8
-21.721,108,117.87,0
-20.339,202.86,262.98,-1.2
-19.818,135.88,32.3,-2
-20.052,243.24,106.44,-2.9
-19.105,117.33,15.6,-2.6
-19.404,196.67,283.01,-2.2
-19.11,151.92,220,-1.8
-19.263,166.55,72.28,-1.3
-19.929,121.43,61.67,-0.8
-19.779,144.22,171.44,-2.4
-19.397,183.33,110,-1.8
-20.375,9.33,76.22,-2.8
-21.284,150,224.74,1.7
